package,wf_status,error,overall,result_type,review_total,review_failed,bom_success,bom_count,bom_confirm,fiber_status,fiber_conflict,construction_status,wp_count,unknown
01_TC-01_正确工程_3.0,succeeded,None,CONDITIONAL_PASS,estimated_or_conditional,57,0,True,17,4,正常,0,待确认,3,4
02_TC-02_BOM无法匹配案例2.0,succeeded,None,CONDITIONAL_PASS_ESTIMATED,estimated_or_conditional,59,2,True,17,4,正常,0,待确认,3,4
03_TC-02_BOM物料无法匹配案例,succeeded,None,CONDITIONAL_PASS_ESTIMATED,estimated_or_conditional,58,1,True,17,4,正常,0,待确认,3,4
04_TC-03_编码重复案例,succeeded,None,CONDITIONAL_PASS_ESTIMATED,estimated_or_conditional,59,2,True,17,4,正常,0,待确认,3,5
05_TC-04_孤立设备案例,succeeded,None,CONDITIONAL_PASS_ESTIMATED,estimated_or_conditional,63,6,True,17,4,正常,0,待确认,3,5
06_TC-05_光缆未连接案例,succeeded,None,CONDITIONAL_PASS_ESTIMATED,estimated_or_conditional,60,3,True,17,4,正常,0,待确认,3,4
07_TC-06_缺少图层案例,succeeded,None,CONDITIONAL_PASS_ESTIMATED,estimated_or_conditional,58,7,True,17,4,正常,0,待确认,3,4
08_TC-07_缺少文件案例,succeeded,None,CONDITIONAL_PASS_ESTIMATED,estimated_or_conditional,60,4,True,17,4,正常,0,待确认,3,4
09_TC-08_容量超限案例,succeeded,None,CONDITIONAL_PASS_ESTIMATED,estimated_or_conditional,59,2,True,17,4,正常,0,待确认,3,4
10_TC-09_纤芯重复占用案例(仅占用),succeeded,None,CONDITIONAL_PASS_ESTIMATED,estimated_or_conditional,59,1,True,17,4,正常,0,待确认,3,4
11_TC-09_纤芯重复占用案例（仅重复）,succeeded,None,CONDITIONAL_PASS_ESTIMATED,estimated_or_conditional,59,1,True,17,4,正常,0,待确认,3,4
12_TC-10_字段为空案例,succeeded,None,CONDITIONAL_PASS_ESTIMATED,estimated_or_conditional,65,8,True,17,4,正常,0,待确认,3,4
13_TC-11_BOM未收录物料案_2.0,succeeded,None,CONDITIONAL_PASS_ESTIMATED,estimated_or_conditional,61,3,True,18,5,正常,0,待确认,3,5
14_TC-12_BOM利旧冲减案_2.0,succeeded,None,CONDITIONAL_PASS,estimated_or_conditional,57,0,True,15,4,正常,0,待确认,3,4
15_TC-13_BOM包装取整陷阱案_2.0,succeeded,None,CONDITIONAL_PASS_ESTIMATED,estimated_or_conditional,58,1,True,17,4,正常,0,待确认,3,4
16_TC-14_BOM长度缺失异常案_2.0,succeeded,None,CONDITIONAL_PASS_ESTIMATED,estimated_or_conditional,58,1,True,17,6,正常,0,待确认,3,4
17_TC-15_超限间距违规案,succeeded,None,CONDITIONAL_PASS_ESTIMATED,estimated_or_conditional,58,1,True,17,4,正常,0,待确认,3,4
18_TC-16_挂高逻辑异常案,succeeded,None,CONDITIONAL_PASS_ESTIMATED,estimated_or_conditional,58,1,True,17,4,正常,0,待确认,3,4
19_TC-17_敷设方式冲突案,succeeded,None,CONDITIONAL_PASS_ESTIMATED,estimated_or_conditional,58,1,True,17,4,正常,0,待确认,3,4
20_TC-18_空间坐标完全重叠案例,succeeded,None,CONDITIONAL_PASS_ESTIMATED,estimated_or_conditional,58,1,True,17,4,正常,0,待确认,3,5
21_TC-19_拓扑路由自闭环异常案例,succeeded,None,CONDITIONAL_PASS_ESTIMATED,estimated_or_conditional,61,2,True,17,4,正常,0,待确认,3,4
22_TC-20_工程量绝对值非法案例,succeeded,None,CONDITIONAL_PASS_ESTIMATED,estimated_or_conditional,58,1,True,15,4,正常,0,待确认,3,4
23_TC-21_业务类型与容量矛盾案例,succeeded,None,CONDITIONAL_PASS_ESTIMATED,estimated_or_conditional,59,1,True,17,4,待确认,1,待确认,3,4
24_TC-22_废弃状态实体挂载冲突案例,succeeded,None,CONDITIONAL_PASS_ESTIMATED,estimated_or_conditional,58,1,True,17,4,正常,0,待确认,3,4
25_TC-23_支撑件物理承载超限案例,succeeded,None,CONDITIONAL_PASS_ESTIMATED,estimated_or_conditional,58,1,True,17,4,正常,0,待确认,3,4
